AAA Polska spó³ka z ograniczon¹ odpowiedzialnoœci¹ sp. k.	Lista transakcji ksiêgi	23.09.2019	13:35:42	Strona 1
Data	Za³¹cznik	Wymiary	Tekst transakcji	Kwota	Waluta	Kwota waluty	Kwota w drugiej walucie
Konto ksiêgowe	6470000	Nazwa konta	401 Amortyzacja - Wyposa¿enie techniczne / urzadzenia
31.01.2019	FA-0753300		34410		000								PLN	2 107,41	2 107,41	0,00
31.01.2019	FA-0753301	3	23010		000								PLN	27,31	27,31	0,00
31.01.2019	FA-0753302	3	23010		000								PLN	35,07	35,07	0,00
31.01.2019	FA-0753303	3	23010		000								PLN	85,97	85,97	0,00
31.01.2019	FA-0753304	3	23010		000								PLN	88,89	88,89	0,00
31.01.2019	FA-0753305	3	23010		000								PLN	259,34	259,34	0,00
31.01.2019	FA-0753306	3	23050		000								PLN	25,00	25,00	0,00
31.01.2019	FA-0753307	3	23010		000								PLN	99,88	99,88	0,00
31.01.2019	FA-0753308	3	23010		000								PLN	173,30	173,30	0,00
31.01.2019	FA-0753309	3	23010		000								PLN	184,05	184,05	0,00
31.01.2019	FA-0753310	3	22120		000								PLN	86,70	86,70	0,00
31.01.2019	FA-0753311	3	23010		000								PLN	20,82	20,82	0,00
31.01.2019	FA-0753312		22050		000								PLN	233,39	233,39	0,00
31.01.2019	FA-0753313	3	23030		000								PLN	333,74	333,74	0,00
31.01.2019	FA-0753314	3	23040		000								PLN	263,96	263,96	0,00
31.01.2019	FA-0753315	3	23020		000								PLN	200,77	200,77	0,00
31.01.2019	FA-0753316	3	23020		000								PLN	56,44	56,44	0,00
31.01.2019	FA-0753317	3	23020		000								PLN	60,85	60,85	0,00
31.01.2019	FA-0753318	3	23060		000								PLN	368,92	368,92	0,00
31.01.2019	FA-0753319	3	21050		000								PLN	25,93	25,93	0,00
31.01.2019	FA-0753320	3	23050		000								PLN	152,54	152,54	0,00
31.01.2019	FA-0753321	3	34110		000								PLN	37,45	37,45	0,00
31.01.2019	FA-0753322	3	23050		000								PLN	47,04	47,04	0,00
31.01.2019	FA-0753323	3	22070		000								PLN	93,84	93,84	0,00
31.01.2019	FA-0753324	3	22070		000								PLN	63,23	63,23	0,00
31.01.2019	FA-0753325	3	23070		000								PLN	179,76	179,76	0,00
31.01.2019	FA-0753326	3	23070		000								PLN	170,74	170,74	0,00
31.01.2019	FA-0753327	3	23070		000								PLN	73,11	73,11	0,00
31.01.2019	FA-0753328	3	28120		000								PLN	26 947,14	26 947,14	0,00
31.01.2019	FA-0753329	3	28100		000								PLN	41,58	41,58	0,00
31.01.2019	FA-0753330	3	28120		000								PLN	2 858,00	2 858,00	0,00
31.01.2019	FA-0753331	3	31210		000								PLN	22,51	22,51	0,00
31.01.2019	FA-0753332	3	28120		000								PLN	1,57	1,57	0,00
31.01.2019	FA-0753333	3	28120		000								PLN	1,57	1,57	0,00
31.01.2019	FA-0753334	3	28100		000								PLN	0,57	0,57	0,00
31.01.2019	FA-0753335	3	28100		000								PLN	58,75	58,75	0,00
31.01.2019	FA-0753336	3	28120		000								PLN	3,26	3,26	0,00
31.01.2019	FA-0753337	3	28120		000								PLN	10,11	10,11	0,00
31.01.2019	FA-0753338	3	22050		000								PLN	86,15	86,15	0,00
31.01.2019	FA-0753339	3	23080		000								PLN	12,02	12,02	0,00
31.01.2019	FA-0753340		73100		000								PLN	242,18	242,18	0,00
31.01.2019	FA-0753341	3	24080	inw4/2004	000								PLN	16,82	16,82	0,00
31.01.2019	FA-0753342	3	22050	inw3/2004	000								PLN	38,43	38,43	0,00
31.01.2019	FA-0753343	3	22120	inw3/2004	000								PLN	22,14	22,14	0,00
